scope,config,method,strategy,importance_source,protect_mode,merge_ratio,actual_merge_ratio,tokens_after,latency_ms_mean,speedup_vs_baseline,peak_memory_mb_mean,memory_delta_mb,mean_cosine,p10_cosine,p1_cosine,relative_l2,any_fallback,num_candidate_cells
B_l4,B_protect_norm_motion_local_top1_l4_r0.1_512,B_importance_protected,local_2x2_importance_protected_vec,norm_motion,local_top1,0.1,0.0999755859375,29492.0,586.7281638913684,1.1681337080027598,3069.59619140625,-79.05615234375,0.8997617165247599,0.6630792816480001,0.3331160346666972,0.44815654520080406,False,8192.0
B_l4,B_protect_norm_motion_local_top1_l4_r0.125_512,B_importance_protected,local_2x2_importance_protected_vec,norm_motion,local_top1,0.125,0.125,28672.0,571.2601660440365,1.19976323646421,3051.17578125,-97.4765625,0.8777647217114767,0.6031142671902975,0.3097858428955078,0.494985210613848,False,8192.0
B_l6,B_protect_norm_motion_local_top1_l6_r0.05_512,B_importance_protected,local_2x2_importance_protected_vec,norm_motion,local_top1,0.05,0.04998779296875,31130.0,638.3089143782854,1.080228750627235,3110.00439453125,-38.64794921875,0.9620085954666138,0.9104150931040446,0.4721599519252777,0.2748292851661949,False,8192.0
B_l6,B_protect_norm_motion_local_top1_l6_r0.1_512,B_importance_protected,local_2x2_importance_protected_vec,norm_motion,local_top1,0.1,0.0999755859375,29492.0,601.0244563221931,1.1472405720599312,3068.4013671875,-80.2509765625,0.9234334826469421,0.7454052964846293,0.37451093395551044,0.3910956295488213,False,8192.0
B_l6,B_protect_norm_motion_local_top1_l6_r0.125_512,B_importance_protected,local_2x2_importance_protected_vec,norm_motion,local_top1,0.125,0.125,28672.0,587.1993603391779,1.1742513491411193,3047.17578125,-101.4765625,0.9051749110221863,0.6812734802563986,0.3499325215816498,0.43565786418911817,False,8192.0
B_l8,B_protect_norm_motion_local_top1_l8_r0.05_512,B_importance_protected,local_2x2_importance_protected_vec,norm_motion,local_top1,0.05,0.04998779296875,31130.0,645.1995565245549,1.066106975993589,3110.2001953125,-38.4521484375,0.9679893056551615,0.9283414681752523,0.5212804675102234,0.25266462447377097,False,8192.0
B_l8,B_protect_norm_motion_local_top1_l8_r0.1_512,B_importance_protected,local_2x2_importance_protected_vec,norm_motion,local_top1,0.1,0.0999755859375,29492.0,613.8553795301251,1.1205436509252606,3069.1962890625,-79.4560546875,0.9348729650179545,0.7918956677118937,0.42049844066301983,0.3611370955083641,False,8192.0
B_l8,B_protect_norm_motion_local_top1_l8_r0.125_512,B_importance_protected,local_2x2_importance_protected_vec,norm_motion,local_top1,0.125,0.125,28672.0,600.9516198601988,1.144604200049939,3051.17578125,-97.4765625,0.9188581506411234,0.7339885830879211,0.3917752007643382,0.4033052967281623,False,8192.0
C_l12,C_hybrid_norm_motion_local_top1_l12_r0.05_512,C_hybrid_similarity_importance,local_2x2_hybrid_score_vec,norm_motion,local_top1,0.05,0.04998779296875,31130.0,661.1229671786228,1.0413913341853285,3111.001953125,-37.650390625,0.9772355159123739,0.9694703022638956,0.5602593620618185,0.21554842529566642,False,8192.0
C_l12,C_hybrid_norm_motion_local_top1_l12_r0.1_512,C_hybrid_similarity_importance,local_2x2_hybrid_score_vec,norm_motion,local_top1,0.1,0.0999755859375,29492.0,637.2367735538218,1.0804268639599448,3068.396484375,-80.255859375,0.9537848035494486,0.8330084284146627,0.47364608446757,0.3064257921826357,False,8192.0
